Name;Form Factor;Chipset;Memory;HDD
X7DWN+  ;Ext. ATX;Intel 5400;128 GB FB-DIMM;UIO, 6x SATA
X7DWU  ;Ext. ATX;Intel 5400;64 GB FB-DIMM;UIO, Customizable
X7DWA-N  ;Ext. ATX;Intel 5400;64 GB FB-DIMM;UIO,6x SATA
X7DWE  ;ATX;Intel 5400;32 GB FB-DIMM;6x SATA
X7DWT-INF;Proprietary;Intel 5400;64 GB FB-DIMM;4x SATA
X7DWT-INF1;Proprietary;Intel 5400;64 GB FB-DIMM;4x SATA
X7DWT  ;Proprietary;Intel 5400;64 GB FB-DIMM;4x SATA
X7DCU  ;Ext. ATX;Intel 5100;48 GB DDR2 DIMM;UIO,Customizable
X7DCA-3  ;Ext. ATX;Intel 5100;48 GB DDR2 DIMM;8x SAS,6x SATA
X7DCA-i  ;Ext. ATX;Intel 5100;48 GB DDR2 DIMM;6x SATA
X7DCX  ;Ext. ATX;Intel 5100;48 GB DDR2 DIMM;6x SATA
X7DCL-3  ;ATX;Intel 5100;48 GB DDR2 DIMM;8x SAS,6x SATA
X7DCL-i  ;ATX;Intel 5100;48 GB DDR2 DIMM;6x SATA
X7DCA-L  ;ATX;Intel 5100;48 GB DDR2 DIMM;6x SATA
X7DCT-3IBXF;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SAS
X7DCT-3F  ;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SAS
X7DCT-3  ;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SAS
X7DCT-LF  ;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SATA
X7DCT-L  ;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SATA
X7DCT-10G  ;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SATA
X7DCT  ;Proprietary;Intel 5100;48 GB DDR2 DIMM;4x SATA
X7DB8+  ;Enhanced;Intel 5000P;64 GB FB-DIMM;Dual U320,6x SATA, ZCR
X7DBE+  ;Enhanced;Intel 5000P;64 GB FB-DIMM;6x SATA
X7DBi+  ;Enhanced;Intel 5000P;64 GB FB-DIMM;6x SATA
