Editor;Frames;Java;JavaScript;XSLT;XHTML;MathML;XForms;RSS;Atom;XPath;CSS2
Amaya;No;No;No;No;Yes;Yes;No;No;No;;Partial
Aptana;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes
Arachnophilia;Yes;;Yes;;Yes;;;;;;Yes
Bluefish;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
BlueGriffon;;;;;Yes;Yes;;;;;Yes
Claris Homepage;Yes;No;Yes;No;No;No;No;No;No;No;Partial
CoffeeCup HTML Editor;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes
Dreamweaver;Yes;Yes;Yes;Yes;Yes;Partial;Yes;Yes;;Yes;Yes
Freeway;Yes;Partial;Yes;Yes;Yes;No;No;Yes;No;No;Yes
GoLive;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Yes
HTML-Kit;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes
KompoZer;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes
Maqetta;;;;;;;;;;;No
Microsoft Expression Web;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Microsoft FrontPage;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Partial
Microsoft SharePoint Designer;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Microsoft Visual Web Developer;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Nvu;No;No;Yes;No;Yes;No;No;No;No;No;Yes
OpenBEXI;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes
OpenOffice.org;Yes;;Yes;;;;;;;;Yes
Quanta Plus;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;Yes;Yes
RapidWeaver;Yes;No;Yes;No;Yes;No;No;Yes;No;No;Yes
SeaMonkey Composer;Yes;No;Yes;No;No;No;No;No;No;;Yes
