Name;Operating system;License;Microsoft Office support;Microsoft Office Open XML support;OpenDocument support;Portable Document Format support
Ability Office;Windows;Proprietary;Yes;Yes;Planned for Ability Office 6;Export only
Breadbox Office;DOS, Windows;Proprietary;No;No;No;No
Calligra Suite;BSD, Linux, Solaris, Mac OS X and Windows;LGPL, GPL;import;import;Native format;Export only
Celframe Office;Windows;Proprietary;Yes;Yes;Yes;Export only
Feng Office Community Edition;Fully online;AGPL;No;No;No;No
GobeProductive;Windows and BeOS;Proprietary;Yes;No;No;No
Google Apps;Fully online;Proprietary;Yes;Yes;Yes;Export only
IBM Lotus Symphony;Windows, Linux and Mac OS X;Free;Yes;Import only;Native format;Export only
iWork;Mac OS X;Proprietary;Yes;Import only;No;Export only
Kingsoft Office (WPS Office);Windows and Linux;Proprietary;Yes;Import only support for .docx and .xlsx;No;Export only
LibreOffice;Cross-platform;LGPL;Yes;Yes;Native format;Export
Lotus SmartSuite;Windows and OS/2;Proprietary;Yes;No;No;No
MarinerPak;Mac OS and Mac OS X;Proprietary;Import only;No;No;No
Microsoft Office;Windows and Macintosh;Proprietary;Yes;Office 2007 supports ECMA-376 1st edition.;No;Export only
Microsoft Works;Windows and Macintosh;Proprietary;Yes;Yes;No;No
NeoOffice;Mac OS X;GPL;Yes;Yes;Yes;Import with free plugin
OpenOffice.org;Cross-platform;LGPL;Yes;With free plugins;Native format;Import with free plugin
ShareOffice;Fully online;Proprietary;Yes;No;Yes;No
SoftMaker Office;Windows, Linux, Pocket PC;Proprietary;Yes;Yes;Yes;Export only
SSuite Office;Windows;Freeware;Yes;No;No;Export only
StarOffice;Cross-platform;Proprietary;Yes;With free plugins;Native format;Import with free plugin
ThinkFree Office;Cross-platform;Proprietary;Yes;Import only;No;No
Tiki Wiki CMS Groupware;Fully online;LGPL;search;search;via WebODF;export and search
WordPerfect Office;Windows;Proprietary;Yes;Yes;Yes;Export only
ZCubes;Fully online;Proprietary;No;No;No;No
Zoho Office Suite;Fully online;Proprietary;Yes;Yes;Yes;No
