Software;SaaS;License;Collaborative software;Issue tracking system;Scheduling;Project Portfolio Management;Document Management;Workflow system;Reporting and Analyses;Resource Management;Web-based
5pm;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
24SevenOffice;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
AceProject;Yes;Proprietary;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes
Apollo;Yes;;Yes;No;No;No;No;;;Yes;Yes
Assembla;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
AtTask;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Basecamp;Yes;;Yes;No;No;No;Yes;No;No;Yes;Yes
Binfire;Yes;;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes
Bontq;Yes;;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes
BrightWork;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
CA Clarity PPM;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Celoxis;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Central Desktop;;Proprietary;Yes;Yes;No;No;Yes;No;No;No;Yes
Cerebro;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Clarizen;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ClickHome;Yes;Proprietary;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes
codeBeamer;;Proprietary;Yes;Yes;No;No;Yes;No;No;No;Yes
Collabtive;Yes;Open source;Yes;No;No;No;Yes;No;Yes;No;Yes
Compuware Changepoint;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
ConceptDraw Project;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
Contactizer;;Proprietary;Yes;No;No;No;No;No;No;Yes;No
Copper Project;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Deltek Open Plan;Yes;Proprietary;Yes;No;Yes;Yes;No;No;Yes;Yes;No
Deltek WelcomHome;;Proprietary;Yes;Yes;No;Yes;Yes;Yes;Yes;No;Yes
DeskAway;Yes;;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes
Dolibarr ERP/CRM;;GPL;Yes;No;No;Yes;Yes;No;No;Yes;Yes
Doolphy;Yes;;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes
dotProject;;GPL;Yes;Yes;No;No;Yes;No;No;No;Yes
DynaRoad;;Proprietary;No;No;Yes;No;No;Yes;Yes;Yes;No
Eclipse PPM software;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
EPM Live;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Endeavour Software Project Management;;GPL;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
eGroupWare;;GPL;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes
enQuire;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
FastTrack Schedule;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
Feng Office Community Edition;Yes;AGPL;Yes;No;Yes;Yes;Yes;No;No;No;Yes
FinancialForce.com;Yes;;No;No;Yes;No;No;No;Yes;Yes;Yes
FIT Issue Management;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
FogBugz;Yes;;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes
Ganttic;Yes;;Yes;No;Yes;Yes;No;No;No;Yes;Yes
GanttProject;;GPL;No;No;Yes;No;No;No;No;Yes;No
Gemini;;Proprietary;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes
Genius Inside;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
GroveSite;Yes;;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes
Hall.com;Yes;;Yes;No;No;No;Yes;No;No;Yes;Yes
HP Project & Portfolio Software;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Huddle;;Proprietary;Yes;No;No;No;Yes;No;No;No;Yes
Hyperoffice;;Proprietary;Yes;No;No;No;Yes;No;No;No;Yes
iManageProject;Yes;;Yes;No;No;No;Yes;No;No;Yes;Yes
InLoox;;Proprietary;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes
in-Step;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
JIRA;;Proprietary;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
Jonas Software;;Proprietary;Yes;Yes;Yes;No;Yes;No;No;Yes;No
Journyx;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Kayako helpdesk software;;Proprietary;Yes;Yes;No;No;Yes;No;No;No;Yes
KommandCore;;Proprietary;Yes;No;Yes;No;Yes;No;No;No;Yes
KForge;;GPL;Yes;Yes;No;No;Yes;No;No;No;Yes
KPlato;;GPL;No;No;Yes;No;No;No;No;Yes;No
Launchpad;;AGPL;Yes;Yes;No;Yes;No;No;No;No;Yes
LibrePlan;;AGPL;Yes;No;Yes;No;No;No;Yes;Yes;Yes
LiquidPlanner;Yes;;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes
LisaProject;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
MacProject;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
MantisBT;;GPL;No;Yes;No;No;No;No;No;No;Yes
MatchWare MindView 4 Business Edition;;Proprietary;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes
Mavenlink;Yes;;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes
Me2Team;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Merlin;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
MicroPlanner X-Pert;;Proprietary;Yes;Yes;Yes;Yes;No;No;No;Yes;No
Microsoft Office Project Server;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Microsoft Project;;Proprietary;No;No;Yes;No;No;No;Yes;Yes;No
Microsoft SharePoint Server;Yes;Proprietary;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
Microsoft Team Foundation Server;Yes;Proprietary;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
Milestones Professional;;Proprietary;No;Yes;Yes;No;Yes;No;No;No;No
MindGenius;;Proprietary;Yes;No;Yes;No;No;No;No;Yes;No
Mingle;;Proprietary;Yes;Yes;No;Yes;Yes;No;No;No;Yes
NetPoint;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
NetSuite;Yes;;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
MyWorkPLAN;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No
O3spaces;;Proprietary;Yes;No;No;No;Yes;No;No;No;No
OmniPlan;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
Onepoint Project;Yes;Proprietary, GPL;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
OnTime;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Open Workbench;;Open source;No;No;Yes;No;No;No;No;Yes;No
OpenERP;Yes;Open source;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
OpenProj;Yes;CPAL;No;No;Yes;No;No;No;No;Yes;No
Oracle Project Portfolio Management;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
phpGroupWare;;GPL;Yes;Yes;No;;Yes;No;No;Yes;Yes
PHProjekt;;LGPL;Yes;Yes;Yes;No;No;No;No;No;Yes
Pivotal Tracker;Yes;;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes
Planbox;Yes;;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Plandora;;LGPL;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Planisware;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Planner Suite;;Proprietary;No;No;Yes;Yes;Yes;No;No;Yes;No
PLANTA Project;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
WorkLenz/PPM Central;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Primavera Project Planner;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Principal Toolbox;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Project KickStart;;Proprietary;No;No;Yes;No;No;No;No;Yes;No
ProjectManager.com;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Project.net;Yes;GPL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Project-Open;;Proprietary, GPL;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Projectplace;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
ProjectSpaces;;Proprietary;Yes;Yes;Yes;No;Yes;No;No;No;Yes
Projecturf;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Projektron BCS;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Proliance;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Prolog Manager;;Proprietary;Yes;Yes;No;Yes;Yes;No;No;No;Yes
PSNext;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
QuickBase;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Rally Software;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Redmine;;GPL;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes
Rplan;;Proprietary;Yes;No;Yes;Yes;No;No;No;Yes;Yes
SAP RPM;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
SAP Business ByDesign;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Severa;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Smartsheet;;Proprietary;Yes;Yes;No;Yes;Yes;No;No;No;Yes
TACTIC;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
TaskJuggler;;GPL;Yes;No;Yes;No;No;No;No;Yes;No
Teamcenter;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes
Teambox;Yes;AGPL, Proprietary;;;;;;;;No;Yes
TeamDynamixHE;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
TeamLab;Yes;GPL;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes
Teamwork;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
TeamworkPM;;Proprietary;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes
Tenrox;Yes;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Tom's Planner;;Proprietary;Yes;No;Yes;No;No;No;No;No;Yes
Trac;;Open source;Yes;Yes;No;No;No;Yes;No;No;Yes
TrackerSuite.Net;;Proprietary;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Traction TeamPage;;Proprietary;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes
Trello;Yes;;Yes;;;;No;;;No;Yes
