Name;Amazon FPS;Google Checkout;PayPal Express
IzzoNet;No;Yes;No
AbanteCart;No;Yes;Yes
Ashop Commerce;No;Yes;Yes
24SevenCart;No;Yes;Yes
Avactis;No;Yes;Yes
AdVantShop.NET;Yes;Yes;Yes
AspDotNetStorefront;No;Yes;Yes
Batavi;No;No;No
BigCommerce;Yes;Yes;Yes
Bitcart;Yes;Yes;Yes
CartXpress;No;Yes;Yes
CARTZ Link;No;Yes;Yes
CoreCommerce;No;Yes;Yes
CRUCIAL SOLUTION;Yes;Yes;Yes
CS-Cart;No;Yes;Yes
Cube Cart;No;Yes;Yes
DantoCart;Yes;Yes;Yes
eCommerce Framework G5 (ECF);No;No;No
Ecommerce Shopping Cart Software;No;No;No
Ecommerce Templates;No;Yes;Yes
Flying Cart;Yes;No;No
Fortune3;Yes;Yes;Yes
Go Ecommerce;No;No;Yes
Interspire Shopping Cart;Yes;Yes;Yes
iScripts Multicart;No;Yes;Yes
JadaSite;No;No;Yes
JShop Server;No;No;No
k-eCommerce;No;Yes;No
KonaKart;No;Yes;No
LiteCommerce;No;Yes;Yes
LiveCart;No;Yes;Yes
Magento;Yes;Yes;Yes
ePages;No;Yes;Yes
nopCommerce;Yes;Yes;Yes
OpenCart;No;No;No
osCommerce;No;No;No
OXID eShop;No;No;Yes
PDshop;Yes;No;No
PhPepperShop;No;No;No
Pinnacle Cart;No;Yes;Yes
PrestaShop;No;Yes;Yes
ProductCart;No;Yes;Yes
SearchFit;No;Yes;Yes
SEOshop;No;Yes;Yes
ShopCMS;No;No;No
Shopping Cart Gold;No;Yes;Yes
ShoppingCart.ORG;No;No;Yes
Shopify;No;Yes;Yes
Shopizer;No;No;Yes
ShopSite;No;Yes;Yes
SunShop;Yes;Yes;Yes
Superia Commerce;No;Yes;Yes
TomatoCart;No;Yes;Yes
TOUGHCartz;No;Yes;Yes
Usercart 8 Infinity;No;Yes;Yes
VirtueMart for Joomla!;No;Addon (FREE);No
Volusion;No;Yes;PayPal Pro (FREE)
VP-ASP Shopping Cart;No;Yes;Yes
WebAsyst Shop-Script;No;Yes;Yes
X-Cart;No;Yes;Yes
xrow E-Commerce;Yes;No;Yes
Zen Cart;No;free Addon;Yes
Zeus Cart;No;Yes;No
