Name;Australia Post;Canada Post;City Link;DHL;FedEx;Intershipper;United States Postal Service;UPS
IzzoNet;Yes;No;No;No;Yes;No;Yes;Yes
AbanteCart;No;No;No;Yes;Yes;Yes;No;No
Ashop Commerce;Yes;No;No;No;Yes;No;Yes;Yes
24SevenCart;Yes;No;No;No;Yes;No;Yes;Yes
Avactis;Yes;Yes;No;No;Yes;Yes;Yes;Yes
AdVantShop.NET;No;No;No;No;Yes;No;Yes;Yes
AspDotNetStorefront;Yes;Yes;No;Yes;Yes;No;Yes;Yes
Batavi;No;No;No;No;No;No;No;No
BigCommerce;Yes;Yes;No;No;Yes;Yes;Yes;Yes
Bitcart;Yes;Yes;No;No;Yes;Yes;Yes;Yes
CartXpress;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
CARTZ Link;No;Yes;No;No;No;No;Yes;No
CoreCommerce;Yes;Yes;No;Yes;Yes;No;Yes;Yes
CRUCIAL SOLUTION;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
CS-Cart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
Cube Cart;Yes;Yes;No;No;No;No;Yes;Yes
DantoCart;Yes;;;;Yes;;;Yes
eCommerce Framework G5 (ECF);;;No;;;No;;No
Ecommerce Shopping Cart Software;No;No;No;No;No;No;No;No
Ecommerce Templates;No;Yes;No;No;Yes;No;Yes;Yes
Flying Cart;;;;;;;;No
Fortune3;Yes;Yes;No;Yes;Yes;No;Yes;Yes
Go Ecommerce;No;No;No;No;No;No;No;No
Interspire Shopping Cart;Yes;Yes;No;No;Yes;Yes;Yes;Yes
iScripts Multicart;Yes;Yes;No;No;Yes;No;Yes;Yes
JadaSite;No;No;No;No;No;No;No;No
JShop Server;No;No;No;No;No;No;No;No
k-eCommerce;No;Yes;No;No;Yes;No;Yes;Yes
KonaKart;No;Yes;Yes;No;;Yes;Yes;No
LiteCommerce;Addon ($13.00);Addon ($13.00);No;No;No;Addon ($13.00);Addon ($13.00);Addon ($13.00)
LiveCart;No;Yes;No;No;Yes;No;Yes;Yes
Magento;No;Yes;No;Yes;Yes;No;Yes;Yes
ePages;3rd party Module (price varies);No;No;Yes;Yes;No;No;Yes
nopCommerce;Yes;Yes;No;No;Yes;No;Yes;Yes
OpenCart;Yes;Yes;Yes;No;Yes;No;Yes;Yes
osCommerce;No;No;No;No;No;No;No;No
OXID eShop;No;No;No;No;No;No;No;No
PDshop;;;;;;;;No
PhPepperShop;No;No;No;No;No;No;No;No
Pinnacle Cart;No;Yes;No;No;Yes;No;Yes;Yes
PrestaShop;No;Yes;No;No;Yes;No;Yes;Yes
ProductCart;No;Yes;No;No;Yes;No;Yes;Yes
SearchFit;No;No;No;No;Yes;No;Yes;Yes
SEOshop;No;No;No;Yes;Yes;No;No;Yes
ShopCMS;No;No;No;No;No;No;No;No
Shopping Cart Gold;No;No;No;No;No;No;No;No
ShoppingCart.ORG;No;No;No;No;No;No;Yes;Yes
Shopify;No;No;No;No;No;No;Yes;Yes
Shopizer;No;Yes;No;No;Yes;No;Yes;Yes
ShopSite;No;No;No;No;Yes;No;Yes;Yes
SunShop;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
Superia Commerce;No;No;No;No;No;No;No;No
TomatoCart;No;No;No;No;No;No;No;No
TOUGHCartz;No;No;No;No;No;No;No;No
Usercart 8 Infinity;No;No;No;No;No;No;No;No
VirtueMart for Joomla!;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
Volusion;Yes;Yes;No;Yes;Yes;No;Yes;Yes
VP-ASP Shopping Cart;Yes;Yes;No;No;Yes;Yes;Yes;Yes
WebAsyst Shop-Script;No;No;No;Yes;Yes;Yes;Yes;Yes
X-Cart;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes
xrow E-Commerce;No;No;No;No;No;No;Yes;Yes
Zen Cart;free Addon;free Addon;No;No;free Addon;No;Yes;Yes
Zeus Cart;No;No;No;No;No;No;No;No
