Identifior,CamelCase,Freelinks,Backlinks,InterWiki,SisterWiki,ImageLinks,WindowsShares,PageRedirects
Groupswiki,Yes,Yes,Yes,Yes,N_A,N_A,Yes,N_A
Sputnik,Some,No,Complex,No,Yes,No,No,No
Socialtext,Yes,Yes,X2,N_A,Yes,Yes,Yes,Yes
TracWiki,Yes,Some,X3,Simplecomplex,No,No,Yes,No
OpenWikiNG,N_A,Optional,X2,Simplecomplex,N_A,No,No,No
Hatta,No,No,X2,Simple,Yes,No,No,No
MidgardWiki,No,Yes,No,No,No,No,No,Yes
SubWiki,No,No,No,No,No,No,No,No
UseMod,No,No,No,No,No,No,No,No
Nexdo,Yes,Yes,Yes,No,Yes,No,No,No
Intodit,N_A,N_A,N_A,N_A,Yes,Yes,N_A,N_A
MoniWiki,Yes,Plugin,X3,Complex,No,X3,X3,X3
PBwiki,X3,Yes,X3,Yes,No,Yes,Yes,Yes
XoWiki,N_A,Some,N_A,Complex,N_A,No,No,No
JaWiki,N_A,All,No,No,N_A,N_A,N_A,N_A
PukiWiki,N_A,Plugin,X3,Simplecomplex,No,No,No,No
Wiki,Yes,Yes,No,No,No,Yes,Yes,No
WikiSpot,Yes,No,No,Yes,Yes,Yes,No,No
Bitweaver,Yes,Optional,No,Simplecomplex,N_A,X2,N_A,X2
Gazest,Simplecomplex,No,Yes,Yes,Yes,No,N_A,N_A
Gitit,No,Some,Yes,Complex,No,Yes,No,No
SamePage,No,Yes,Yes,Yes,No,Yes,Yes,Yes
EditMe,Yes,No,No,Yes,Yes,Yes,Yes,Yes
ThoughtFarmer,N_A,All,Yes,Complex,No,No,No,No
WikkaWiki,X4,Some,X3,Simplecomplex,No,No,No,No
WikionaStick,No,All,X3,Simplecomplex,Yes,No,No,No
WxWikiServer,No,No,No,Yes,Yes,No,No,Yes
MindTouch,No,Yes,Yes,Yes,No,Yes,Yes,Yes
DokuWiki,X3,Optional,X3,Simple,X3,X3,X3,X3
BusinessWiki,No,Yes,Yes,Yes,No,Yes,No,Yes
ProWiki,Yes,Some,Yes,Simplecomplex,No,No,No,No
UniWakka,No,No,Yes,Yes,Yes,No,No,No
WikiNi,N_A,Optional,X3,Simplecomplex,No,No,No,No
Wiclear,Simple,No,No,No,No,Yes,No,Yes
MediaWiki,Yes,Some,Yes,Simplecomplex,No,No,No,No
KeheiWiki,Yes,All,No,Complex,N_A,N_A,X2,X2
PodWiki,Yes,No,Yes,Yes,No,No,No,Yes
XWiki,Yes,All,Yes,Simplecomplex,Yes,No,No,No
Yawiki,Simplecomplex,Yes,Yes,Yes,Yes,No,No,No
WackoWiki,Yes,All,X3,Simple,No,No,No,No
MetadotWiki,Yes,No,Yes,Yes,X2,No,Yes,No
LionWiki,Yes,Optional,No,Complex,No,No,No,No
Oddmuse,Yes,Plugin,X3,Simplecomplex,X3,X3,No,X3
ErfurtWiki,X3,Plugin,No,Simplecomplex,X2,No,No,X3
Telepark_wiki,N_A,All,N_A,Simplecomplex,N_A,N_A,N_A,N_A
Pier,Simple,No,No,No,No,No,No,No
PAUX,N_A,Optional,Yes,Simplecomplex,N_A,N_A,N_A,N_A
TrikiWiki,No,Optional,No,Simplecomplex,No,No,No,X3
SharePointWikiPlus,All,No,Simplecomplex,No,No,No,No,Yes
Swirrl,No,No,No,No,No,Yes,Yes,No
JOTWiki,No,No,No,No,Yes,No,No,No
WiGit,Some,Yes,Simplecomplex,No,No,Yes,No,No
Cospire,No,Yes,Yes,N_A,No,Yes,No,Yes
WikiDoc,No,No,No,No,No,No,No,No
KWikiKWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PortiliTeamWiki,No,Some,No,Simple,No,No,No,No
WikiASP,N_A,N_A,N_A,N_A,Yes,Yes,Yes,N_A
Clearspace,Simple,No,No,Yes,Yes,Yes,No,No
PmWiki,Yes,Plugin,X3,Simplecomplex,X2,X3,No,No
BrainKeeper,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Ikiwiki,N_A,Optional,X3,Simplecomplex,No,Yes,X3,No
BLADEWiki,N_A,All,N_A,Simple,N_A,N_A,N_A,N_A
Wicked,N_A,No,No,Simplecomplex,Yes,No,No,Yes
CanvasWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
TractionTeamPage,Yes,Some,X3,Complex,No,No,No,No
Incentive,No,Yes,Yes,Yes,Yes,Yes,Yes,X2
WalaWiki,No,No,No,No,No,No,No,Yes
WikiSH,No,No,No,No,Yes,No,No,Yes
PhpWiki,Yes,Some,X3,Simplecomplex,No,No,No,No
Sycamore,Yes,No,No,Simplecomplex,N_A,N_A,N_A,No
MicKI,Simple,No,No,No,No,No,No,No
PersonalPPCWiki,All,No,Complex,No,No,No,No,Yes
Foswiki,X3,All,X3,Simplecomplex,No,No,X3,No
LunaWiki,No,No,No,No,No,No,No,No
DrupalWiki,Yes,All,Yes,Simplecomplex,X3,X3,X3,X3
VQWiki,N_A,Optional,X2,Simple,No,X2,X2,X2
CodeBeamer,Simplecomplex,No,No,No,No,X3,X3,X3
ProjectForum,N_A,Optional,Yes,Simple,No,No,No,No
JSPWiki,Yes,Optional,X3,Simplecomplex,Yes,No,No,No
Wikepage,N_A,No,No,Simple,N_A,No,No,No
Luminotes,No,Yes,No,No,No,Yes,N_A,N_A
Wikispaces,Yes,Yes,Yes,Yes,No,Yes,Yes,No
WikiCSharp_NET,N_A,All,N_A,Simple,N_A,N_A,N_A,N_A
Instiki,Yes,All,Yes,Simplecomplex,No,Yes,Yes,No
TWiki,X3,All,X3,Simplecomplex,No,No,X3,No
TiddlyWiki,X3,All,X3,Complex,X3,No,No,No
GitWiki,X3,Plugin,X3,Simple,X3,X3,X3,No
Wagn,No,Yes,Yes,No,No,Yes,N_A,No
MoinMoin,Yes,Some,X3,Complex,Yes,No,No,No
ScrewTurnWiki,Yes,All,No,Complex,No,No,No,No
ButorWiki,Simplecomplex,No,No,No,No,No,No,No
Jacwiki,No,No,No,Yes,No,No,No,No
GeniusWiki,No,Yes,No,Yes,No,Yes,No,Yes
Zwiki,N_A,Optional,X3,Simplecomplex,No,No,No,No
ProntoWiki,N_A,N_A,N_A,No,No,X2,X2,No
ClearWiki,N_A,N_A,No,Yes,N_A,Yes,Yes,Yes
WikiCrowd,No,Plugin,No,No,No,No,No,No
Giki,No,No,X3,No,No,No,No,No
PicoWiki,No,Yes,Yes,No,No,Yes,No,No
GeboGebo,N_A,All,No,Simple,N_A,No,No,No
Anwiki,N_A,All,No,No,No,No,No,No
Springnote,Yes,Yes,N_A,Yes,Yes,Yes,Yes,Yes
WikyBlog,Simplecomplex,No,No,No,No,Yes,Yes,No
BoltWire,Yes,Some,Yes,Complex,Yes,No,No,No
Wikia,Yes,Yes,N_A,Yes,N_A,Yes,Yes,Yes
PageWork,Yes,All,X3,Simple,No,No,No,No
Wetpaint,N_A,Yes,No,Yes,Yes,Yes,Yes,Yes
ZohoWiki,N_A,N_A,N_A,Yes,No,Yes,Yes,Yes
IkeWiki,Simplecomplex,N_A,No,No,No,No,X4,X3
