Identifior,UnicodeSupport,RighttoLeftSupport,InterfaceLanguages,Emailnotification,Comments,Categories,Namespaces,PageRedirection,ConflictHandling,Search,WikiFarming,StructuredData
Groupswiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sputnik,No,FullText,Yes,Yes,X3,Yes,No,No,No,Yes,No,No
Socialtext,X2,X2,X2,X2,X2,X2,X2,Yes,X2,X2,X2,Javascript
TracWiki,X3,ConflictDetection,FullText,Yes,N_A,Yes,Yes,Yes,Yes,Yes,Yes,Yes
OpenWikiNG,Yes,ConflictDetection,FullText,No,N_A,Yes,Yes,No,Yes,No,No,Yes
Hatta,No,ConflictResolution,FullText,No,No,X2,Yes,Yes,No,No,Yes,No
MidgardWiki,PageLocking,FullText,No,Yes,Yes,No,No,Yes,Yes,Some,No,Complex
SubWiki,No,Yes,No,No,X3,No,Yes,No,No,No,No,No
UseMod,FullText,X2,Yes,Yes,Yes,Yes,Yes,No,Some,No,Simple,No
Nexdo,N_A,No,N_A,N_A,Yes,No,No,N_A,N_A,N_A,No,No
Intodit,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Yes,N_A,N_A,N_A
MoniWiki,Yes,ConflictResolution,FullText,X4,No,X2,Yes,Yes,Yes,X2,Yes,Yes
PBwiki,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Javascript
XoWiki,N_A,N_A,FullText,Yes,Yes,No,Yes,Yes,No,No,Yes,N_A
JaWiki,No,No,FullText,N_A,N_A,No,Yes,No,No,No,Yes,No
PukiWiki,No,ConflictDetection,FullText,N_A,N_A,Yes,Yes,Yes,Yes,No,Yes,X4
Wiki,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,JavaScript
WikiSpot,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Bitweaver,Yes,PageLocking,FullText,Yes,N_A,X2,Yes,Yes,No,No,Yes,No
Gazest,N_A,ConflictResolution,N_A,No,Yes,No,No,No,No,No,Some,No
Gitit,No,ConflictResolution,FullText,No,No,No,Yes,No,X3,No,Yes,N_A
SamePage,Yes,Yes,Deenfrhupl,Yes,Threaded,Yes,Yes,Yes,PageLocking,FullText,Yes,X4
EditMe,No,No,No,No,Yes,No,No,No,Yes,Yes,No,JavaScript
ThoughtFarmer,No,PageLocking,FullText,N_A,Yes,No,No,No,No,No,Yes,Yes
WikkaWiki,X3,PageLocking,FullText,No,X3,Yes,X4,Yes,Yes,No,Yes,No
WikionaStick,No,PageLocking,FullText,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
WxWikiServer,FullText,Yes,Yes,Yes,Yes,No,Yes,No,All,No,Simple,No
