Identifior,StorageQuota,BandwidthQuota,OtherLimits,TopicRestrictions,CorporateBranding,OwnDomain,Adsallowed
Groupswiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sputnik,LinuxUNIXOSXWindows,No,ApacheCGIXavante,GccorLua,Yes,X3,No
Socialtext,Yes,Yes,Yes,X2,X2,Yes,X2
TracWiki,LinuxdistributionsMacOSXFreeBSDNetBSDandMSWindows,No,ApacheStandalonebuiltin,PythonsetuptoolsGenshiSQLiteorPostgreSQLorMySQL,No,Yes,Yes
OpenWikiNG,Windows,No,IISPWS,MSXMLv3SP2VBScriptv5_5orhigher,No,Yes,Yes
Hatta,LinuxUnixWindowsMacOSX,No,StandaloneWSGIFastCGI,MercurialWerkzeug,Yes,No,No
MidgardWiki,LinuxUnixMacOSX,Yes,Apache,MySQLMidgardCMSPHP,No,Yes,No
SubWiki,UNIXWindowsMacOSXprobablyothers,No,ApacheIISanythingwithCGIsupport,N_A,Yes,No,No
UseMod,LinuxWindowsMacOSX,No,ApacheprobablyanythingwithCGIsupport,N_A,Yes,No,No
Nexdo,No,Yes,N_A,N_A,N_A,N_A,N_A
Intodit,Yes,Yes,N_A,N_A,Yes,N_A,N_A
MoniWiki,NIXWindowsetc_,No,ApacheIISstandalonePHP,PHP4_2_xPHP5_x_RCSoruseRcsLitewritteninPHP,Yes,No,No
PBwiki,Yes,Yes,X2,No,No,X2,No
XoWiki,UnixLinuxMacOSXWindows,Yes,AOLServer,N_A,No,No,Yes
JaWiki,TomcatonWindows_Unix,No,Tomcatorbuildin,N_A,Yes,No,No
PukiWiki,OSindependent,No,ApacheIISanythingwithPHPsupport,Tarwithpoptionorunzipforinstall_mbstringPHPextensionformultibitesupport_backupfeaturewantszipPHPextension_,Yes,No,No
Wiki,Yes,Yes,No,No,No,No,No
WikiSpot,Yes,Yes,Yes,X2,No,No,No
Bitweaver,Any,No,Yes,PHP,No,Yes,Yes
Gazest,UNIXWindowsMacOSX,No,ApacheLighttpdStandalone,N_A,No,Yes,Yes
Gitit,Unixlinux,No,Happstack,Gitordarcs,N_A,N_A,N_A
SamePage,No,No,Userbased,Nopornography,Yes,Yes,No
EditMe,Yes,Yes,No,No,X2,No,Yes
ThoughtFarmer,WindowsServer20032008,N_A,IIS,N_A,No,No,No
WikkaWiki,Anyplatformindependent,No,AnyserverwithPHP_MySQLsupport,Mod_rewriteoptional,No,Yes,No
WikionaStick,OSIndependentBrowserApplication,No,N_A,JavaScriptcapablebrowser,No,No,No
WxWikiServer,MSWindows_Mac_Linux,No,Builtin,No,Yes,No,No
MindTouch,N_A,N_A,N_A,No,Yes,Yes,Yes
DokuWiki,LinuxUNIXWindowsMacOSXprobablyothers,No,ApacheIISLighttpdanythingwithPHPsupport,N_A,Yes,No,No
BusinessWiki,Unlimited,Unlimited,No,No,Yes,Yes,Yes
ProWiki,Unix_Linux,No,ApacheprobablyanythingsupportingCGI,No,Yes,No,No
UniWakka,Platformindependent,No,AnyserverwithPHP_MySQLsupport,Mod_rewritexsltforexportingMathMLtolatexmb_stringoptional,No,Yes,No
WikiNi,AllUNIXWindowsMacOSX,No,N_A,N_A,No,Yes,No
Wiclear,All,No,Apache,MySql,No,Yes,No
MediaWiki,NixWindowsMacOSX,No,AnywithPHPsupport,No,No,Yes,Yes
KeheiWiki,Unix_Linux,No,Apache1_3orbetterCGIanylevel,Perl4ornewer,Yes,X3,X3
PodWiki,Unix,No,Apache,Mod_rewriteoptional,Yes,No,No
XWiki,AnyplatformsupportingJDK1_5orgreater,No,AnyServlet2_3containeruptoXWiki1_9Servlet2_4forXWiki2_0andabove,Java1_4XWiki1_0andJava1_5XWiki1_1MySQL_HSQLDB_etcJDBCDriverrequired,No,Yes,Yes
Yawiki,PlatformIndependent,No,Anyservletcontainerorasstandaloneversion,JDK1_4,Yes,Yes,Yes
WackoWiki,OSIndependent,No,Runwiththeappserver_webserverofyourchoice,Database,No,Yes,No
MetadotWiki,Yes,Yes,Yes,No,Yes,Yes,No
LionWiki,AllPHPsupported,No,Apache_IISprobablyeverythingwhichsupportsPHP,N_A,Yes,No,No
Oddmuse,AnythingsupportedbyPerl,No,AnythingsupportingCGIscripts,Writabledatadirectory,Yes,No,No
ErfurtWiki,Any,No,AnythingwithPHPsupport,No,X3,X3,X3
Telepark_wiki,UNIXWindowsMacOSXprobablyothers,No,ApacheIISanyWebserverwithPHPsupportincludinglocallyinstalledservers,N_A,Yes,X2,X2
Pier,WindowsMacOSLinuxanythingSqueakrunson,No,Apachelighttpdstandalone,Squeak,No,No,No
PAUX,AnyJavasupportingOS,Yes,Own,N_A,Yes,X2,Yes
TrikiWiki,Any,No,Any,No,Yes,No,No
SharePointWikiPlus,WindowsServer2003_2008,Yes,MicrosoftIIS,MOSS2007_WSS3_0,No,No,No
Swirrl,Yes,Yes,No,No,X2,No,No
