Identifior,FileAttachments,MediaRevisions,EmbeddedFlash,EmbeddedVideo,ImageEditing,SVGEditing,MindMapEditing,MediaSearch
Groupswiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Sputnik,No,X3,No,No,X3,Sputnik,Sputnikhttp__spu_tnik_org,Sputnik
Socialtext,Http__www_example_com_path_to_image_jpg,N_A,Indented,Bulletitembullettedsubitem,Numbereditemnumberedsubitem,Termdefinition,N_A,N_A
TracWiki,No,No,No,No,No,Yes,CamelCasewikiISO9000wikiTitleIndexTitleIndex,Http__www_edgewall_com_EdgewallSoftware
OpenWikiNG,Filenamesonly,Yes,Yes,No,No,No,InternalLinkInternallink,Http__www_openwiking_comhttp__www_openwiking_comOpenWikiNG
Hatta,Filenamesonly,No,No,No,No,No,Linklinklabel,Http__example_comhttp__example_comhttp__example_comlabelhttp__example_comimage
MidgardWiki,Uunderline_u,Monospace,Spanstyletextdecorationstrikethroughstrikethrough_span,Supsuperscript_sup,Subsubscript_sub,PhotoIMAGEIDENTIFIERINGALLERYImagetexthttp__www_example_net_externalimage_jpg,Divstyletextaligncentercenteredtext_div,Quotedtext
SubWiki,No,No,No,Http__foo_bar_foo_gif,No,No,Item1Item1_1Item2,Item1Item1_1Item2
UseMod,No,Supsuperscript_sup,Subsubscript_sub,Http__url_com_pic_gif,No,Indented,Item1Item1_1Item2,Item1Item1_1Item2
Nexdo,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Intodit,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
MoniWiki,No,Yes,Yes,X3,Yes,No,CamelCaseLinkorfreelinkfreelinkFreeLinkwikiPageNameshownameKLDPWikiFrontPagepagenamePageNamewikiKLDPWikiFrontPagefrontpage,Http__google_com_orhttp__google_com_Googleorfile_____server_share_file
PBwiki,Http__www_imagelocation_com_image_jpg,Leftcenterright,Indentedblock,Bullet1Bullet2SubBullet1,Number1Number2,Dl_dl,N_A,N_A
XoWiki,Contents,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JaWiki,No,N_A,N_A,N_A,N_A,N_A,N_A,N_A
PukiWiki,No,N_A,N_A,N_A,N_A,N_A,PageNameAsWikiNamePageNamelinktextPageName,Http______linktexthttp______interwikikeyphraselinktextinterwikikeyphrase
Wiki,RefAttachedFilenameiAttachedFilenameimageAttachedFilenameimageAttachedFilenameLinkURLimageImageURLimageImageURLLinkURL,Lefttextalignisleftrighttextalignisrightcentertextaligniscenter,N_A,Aaabbbccc,Aaabbbccc,DefTermDefDescDefTermDefDesc,N_A,N_A
WikiSpot,ImagefilenameImagefilenamerightthumbnail400noborder,Center,Aspacebeforeaparagraphcausesittoindentmorespacescausefurtherindent_,ItemItem,X1_Item1_Item,Namedefinition,N_A,N_A
Bitweaver,N_A,Yes,Yes,Yes,Yes,N_A,NameofpageorNameofpagelinktoapageorifactivatedCamelCaseWikiWords,Http__example_comorhttp__example_comlabel
Gazest,Italicorplugin,N_A,Monospacedorplugin,N_A,N_A,N_A,N_A,N_A
Gitit,Keywords,X3,No,No,No,No,Cactus,Cactushttp__cactus_com
SamePage,Yes,Yes,Yes,Yes,Yes,No,No,Contents
EditMe,ImageNameorUseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,UseWYSIWYGeditor,N_A
ThoughtFarmer,Contents,Yes,Yes,Yes,Yes,No,Wysiwygrichtexteditor,Wysiwygrichtexteditor
WikkaWiki,No,X3,X3,No,X3,No,CamelCaseforcedforcedThisisalinkforced,Http__wikkawiki_orghttp__wikkawiki_orgWikkaWikiWikipediaWikkaWiki
WikionaStick,Filenamesonly,X3,Yes,No,No,No,WoaStestpage,Http__stickwiki_sf_net_WoaSOfficialWebsite
WxWikiServer,N_A,N_A,Ilocal__icon_jpgimgicon_jpgimghttp__www_external_image_jpg,Centredtext,Singleindenttwoindentsmoreindenting,Onetwotwo_1,X1itemone2itemtwoOritem1item1_1itemtwo,N_A
